time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-02 19:00:00+00:00,23.17,270.0,1.17,417.58,77.83,29.0,26.6,26.3
2021-07-02 19:10:00+00:00,26.46,270.0,0.43,337.6,49.91,17.28,26.7,26.3
2021-07-02 19:20:00+00:00,26.05,270.0,0.51,336.9,50.67,17.06,26.3,25.7
2021-07-02 19:30:00+00:00,25.67,270.0,0.63,339.6,51.06,16.87,25.8,25.5
2021-07-02 19:40:00+00:00,25.38,270.0,0.6,341.3,51.51,16.7,25.5,25.2
2021-07-02 19:50:00+00:00,25.06,270.0,0.71,344.3,52.19,16.48,25.2,24.9
2021-07-02 20:00:00+00:00,21.42,270.0,1.49,422.58,77.58,26.58,25.2,24.8
2021-07-02 20:10:00+00:00,24.81,270.0,0.68,341.5,51.67,16.21,25.0,24.6
2021-07-02 20:20:00+00:00,24.7,270.0,0.83,343.6,51.54,16.11,24.8,24.5
2021-07-02 20:30:00+00:00,24.44,270.0,0.71,344.9,52.19,15.97,24.6,24.3
2021-07-02 20:40:00+00:00,24.15,270.0,0.75,347.6,52.62,15.8,24.3,24.0
2021-07-02 20:50:00+00:00,23.88,270.0,0.64,351.9,52.81,15.66,24.0,23.7
2021-07-02 21:00:00+00:00,20.0,270.0,1.94,514.17,77.33,24.58,24.0,23.5
2021-07-02 21:10:00+00:00,23.5,270.0,0.75,349.3,52.42,15.47,23.8,23.3
2021-07-02 21:20:00+00:00,23.24,270.0,0.8,353.9,52.69,15.34,23.4,23.0
2021-07-02 21:30:00+00:00,23.02,270.0,0.67,354.8,53.03,15.22,23.3,22.8
2021-07-02 21:40:00+00:00,22.74,270.0,0.64,356.4,53.44,15.08,22.9,22.6
2021-07-02 21:50:00+00:00,22.59,270.0,0.72,358.7,54.01,14.92,22.7,22.5
2021-07-02 22:00:00+00:00,19.0,270.0,1.89,586.25,77.33,23.33,22.6,22.2
